image,predicted_color,aquarius,name,price,mrp,material
1416.jpg,gray,59%,Gray Shirt,2950,3312,Wool
1417.jpg,gray,42%,Gray Shirt,2812,3507,Denim
1418.jpg,white,54%,White Shirt,2202,2968,Polyester
1419.jpg,white,60%,White Shirt,1536,2299,Silk
142.jpg,black,74%,Black Shirt,2498,3275,Denim
1420.jpg,black,80%,Black Shirt,2019,2797,Wool
1421.jpg,gray,44%,Gray Shirt,1929,2250,Silk
1422.jpg,gray,79%,Gray Shirt,2178,2936,Denim
1423.jpg,unknown,76%,Stylish Shirt,2591,3222,Cotton
1424.jpg,black,78%,Black Shirt,1798,2156,Polyester
1425.jpg,blue,80%,Blue Shirt,2665,3411,Denim
1426.jpg,black,78%,Black Shirt,2033,2748,Denim
1427.jpg,black,76%,Black Shirt,1977,2671,Wool
1428.jpg,black,81%,Black Shirt,2512,3078,Silk
1429.jpg,black,81%,Black Shirt,2556,2945,Polyester
143.jpg,gray,69%,Gray Shirt,2364,2792,Polyester
1430.jpg,white,46%,White Shirt,1799,2193,Cotton
1431.jpg,black,81%,Black Shirt,1573,2363,Wool
1432.jpg,black,71%,Black Shirt,2773,3379,Silk
1433.jpg,white,61%,White Shirt,2133,2579,Polyester
1434.jpg,black,77%,Black Shirt,2613,3061,Cotton
1435.jpg,unknown,82%,Stylish Shirt,1718,2080,Polyester
1436.jpg,white,60%,White Shirt,2633,3298,Polyester
1437.jpg,white,96%,White Shirt,2617,3219,Polyester
1438.jpg,unknown,82%,Stylish Shirt,2116,2493,Cotton
1439.jpg,blue,78%,Blue Shirt,2669,3056,Cotton
144.jpg,black,72%,Black Shirt,2737,3204,Silk
1440.jpg,unknown,77%,Stylish Shirt,2990,3748,Silk
1441.jpg,white,37%,White Shirt,2386,3131,Linen
1442.jpg,gray,62%,Gray Shirt,2770,3398,Cotton
1443.jpg,blue,79%,Blue Shirt,2922,3313,Wool
1444.jpg,unknown,77%,Stylish Shirt,2586,2932,Denim
1445.jpg,white,88%,White Shirt,2700,3494,Silk
1446.jpg,white,76%,White Shirt,1861,2572,Denim
1447.jpg,black,77%,Black Shirt,1921,2256,Polyester
1448.jpg,black,76%,Black Shirt,2684,3022,Silk
1449.jpg,black,78%,Black Shirt,2514,3169,Silk
145.jpg,white,59%,White Shirt,2398,2889,Polyester
1450.jpg,white,61%,White Shirt,2900,3444,Cotton
1451.jpg,unknown,78%,Stylish Shirt,1574,2034,Silk
1452.jpg,white,51%,White Shirt,2667,3120,Denim
1453.jpg,gray,78%,Gray Shirt,1803,2551,Wool
1454.jpg,gray,42%,Gray Shirt,2393,2702,Polyester
1455.jpg,black,69%,Black Shirt,1639,2198,Denim
1456.jpg,white,91%,White Shirt,2484,3047,Cotton
1457.jpg,white,60%,White Shirt,1722,2513,Polyester
1458.jpg,unknown,81%,Stylish Shirt,1675,2056,Silk
1459.jpg,black,76%,Black Shirt,2275,2710,Silk
146.jpg,yellow,86%,Yellow Shirt,2938,3551,Wool
1460.jpg,blue,78%,Blue Shirt,1570,1892,Polyester
1461.jpg,black,71%,Black Shirt,2181,2703,Polyester
1462.jpg,white,50%,White Shirt,1550,2018,Polyester
1463.jpg,black,79%,Black Shirt,2823,3568,Linen
1464.jpg,black,74%,Black Shirt,1765,2460,Cotton
1465.jpg,gray,44%,Gray Shirt,1778,2228,Wool
1466.jpg,white,55%,White Shirt,2573,3335,Wool
1467.jpg,white,56%,White Shirt,1951,2747,Cotton
1468.jpg,white,48%,White Shirt,2366,2909,Wool
1469.jpg,blue,73%,Blue Shirt,2277,2878,Silk
147.jpg,white,69%,White Shirt,1623,2109,Polyester
1470.jpg,yellow,81%,Yellow Shirt,1544,2225,Denim
1471.jpg,gray,38%,Gray Shirt,1643,2420,Denim
1472.jpg,gray,71%,Gray Shirt,1940,2620,Wool
1473.jpg,gray,72%,Gray Shirt,1830,2309,Silk
1474.jpg,unknown,79%,Stylish Shirt,2279,3021,Cotton
1475.jpg,white,36%,White Shirt,2517,3056,Silk
1476.jpg,unknown,84%,Stylish Shirt,1750,2245,Wool
1477.jpg,blue,78%,Blue Shirt,2309,2689,Silk
1478.jpg,black,69%,Black Shirt,1984,2558,Polyester
1479.jpg,white,94%,White Shirt,2239,2560,Cotton
148.jpg,white,51%,White Shirt,2094,2543,Polyester
1480.jpg,white,56%,White Shirt,2554,2894,Wool
1481.jpg,gray,77%,Gray Shirt,2263,2721,Linen
1482.jpg,unknown,80%,Stylish Shirt,2316,2865,Polyester
1483.jpg,white,94%,White Shirt,2212,2633,Wool
1484.jpg,white,62%,White Shirt,2323,2883,Wool
1485.jpg,white,61%,White Shirt,2388,2998,Wool
1486.jpg,white,60%,White Shirt,2017,2535,Wool
1487.jpg,gray,40%,Gray Shirt,2325,3090,Wool
1488.jpg,white,56%,White Shirt,1704,2234,Wool
1489.jpg,white,50%,White Shirt,2625,3247,Linen
149.jpg,white,50%,White Shirt,2870,3608,Wool
1490.jpg,yellow,78%,Yellow Shirt,2259,2773,Polyester
1491.jpg,gray,45%,Gray Shirt,2683,3478,Linen
1492.jpg,black,76%,Black Shirt,1639,2080,Cotton
1493.jpg,gray,45%,Gray Shirt,1881,2276,Denim
1494.jpg,white,86%,White Shirt,2787,3333,Linen
1495.jpg,black,80%,Black Shirt,2768,3369,Silk
1496.jpg,black,84%,Black Shirt,2042,2359,Denim
1497.jpg,black,85%,Black Shirt,2832,3537,Silk
1498.jpg,unknown,78%,Stylish Shirt,1973,2534,Denim
1499.jpg,white,60%,White Shirt,2314,3037,Denim
15.jpg,black,75%,Black Shirt,2112,2793,Wool
150.jpg,black,60%,Black Shirt,2974,3579,Linen
1500.jpg,black,83%,Black Shirt,2012,2717,Wool
1501.jpg,white,40%,White Shirt,2023,2676,Polyester
1502.jpg,white,47%,White Shirt,2426,2788,Wool
1503.jpg,white,57%,White Shirt,1670,2173,Denim
1504.jpg,white,39%,White Shirt,2579,3330,Silk
1505.jpg,white,42%,White Shirt,1781,2545,Silk
1506.jpg,white,75%,White Shirt,2792,3428,Polyester
1507.jpg,white,97%,White Shirt,1912,2639,Polyester
1508.jpg,white,40%,White Shirt,1877,2338,Denim
1509.jpg,white,48%,White Shirt,2155,2906,Silk
151.jpg,white,43%,White Shirt,2458,2770,Cotton
1510.jpg,gray,79%,Gray Shirt,1546,2246,Wool
1511.jpg,white,80%,White Shirt,2986,3630,Denim
1512.jpg,gray,77%,Gray Shirt,2828,3384,Cotton
1513.jpg,black,72%,Black Shirt,2301,2654,Linen
1514.jpg,white,46%,White Shirt,2159,2770,Denim
1515.jpg,blue,79%,Blue Shirt,2363,2797,Linen
1516.jpg,unknown,70%,Stylish Shirt,2346,2822,Linen
1517.jpg,unknown,50%,Stylish Shirt,1741,2397,Polyester
1518.jpg,white,74%,White Shirt,1705,2027,Silk
1519.jpg,gray,46%,Gray Shirt,2819,3367,Linen
152.jpg,white,56%,White Shirt,2407,2861,Silk
1520.jpg,black,73%,Black Shirt,2070,2735,Linen
1521.jpg,blue,78%,Blue Shirt,2578,3177,Linen
1522.jpg,blue,84%,Blue Shirt,2233,2582,Silk
1523.jpg,black,81%,Black Shirt,2016,2641,Cotton
1524.jpg,blue,82%,Blue Shirt,2660,3356,Cotton
1525.jpg,blue,45%,Blue Shirt,2077,2873,Wool
1526.jpg,black,77%,Black Shirt,2882,3477,Denim
1527.jpg,yellow,72%,Yellow Shirt,2237,2848,Wool
1528.jpg,unknown,82%,Stylish Shirt,2282,2778,Polyester
1529.jpg,white,61%,White Shirt,2976,3285,Linen
153.jpg,white,56%,White Shirt,1592,1972,Wool
1530.jpg,white,62%,White Shirt,1719,2270,Cotton
1531.jpg,white,63%,White Shirt,2434,3200,Wool
1532.jpg,black,76%,Black Shirt,1849,2383,Denim
1533.jpg,white,62%,White Shirt,2220,2939,Wool
1534.jpg,blue,78%,Blue Shirt,2305,3105,Silk
1535.jpg,black,81%,Black Shirt,2063,2834,Silk
1536.jpg,blue,79%,Blue Shirt,1736,2382,Silk
1537.jpg,white,61%,White Shirt,1759,2201,Wool
1538.jpg,gray,48%,Gray Shirt,2301,2931,Cotton
1539.jpg,white,49%,White Shirt,2041,2401,Polyester
154.jpg,black,67%,Black Shirt,1861,2229,Polyester
1540.jpg,blue,54%,Blue Shirt,1543,2331,Silk
1541.jpg,blue,77%,Blue Shirt,2940,3334,Denim
1542.jpg,white,63%,White Shirt,2071,2751,Polyester
1543.jpg,white,39%,White Shirt,2141,2785,Silk
1544.jpg,white,54%,White Shirt,2887,3365,Polyester
1545.jpg,black,71%,Black Shirt,1907,2414,Cotton
1546.jpg,blue,76%,Blue Shirt,2003,2590,Denim
1547.jpg,black,77%,Black Shirt,1508,1911,Silk
1548.jpg,black,76%,Black Shirt,1619,2270,Linen
1549.jpg,gray,53%,Gray Shirt,1854,2335,Polyester
155.jpg,unknown,36%,Stylish Shirt,1626,2340,Linen
1550.jpg,black,77%,Black Shirt,1639,2298,Cotton
1551.jpg,black,80%,Black Shirt,2714,3382,Linen
1552.jpg,black,64%,Black Shirt,2507,2870,Cotton
1553.jpg,black,48%,Black Shirt,1960,2512,Linen
1554.jpg,black,74%,Black Shirt,2201,2708,Wool
1555.jpg,gray,45%,Gray Shirt,2631,3282,Linen
1556.jpg,black,78%,Black Shirt,2147,2477,Cotton
1557.jpg,black,79%,Black Shirt,1916,2276,Cotton
1558.jpg,unknown,80%,Stylish Shirt,2495,3262,Wool
1559.jpg,blue,80%,Blue Shirt,2816,3450,Linen
156.jpg,black,39%,Black Shirt,2656,3308,Polyester
1560.jpg,black,73%,Black Shirt,2803,3302,Polyester
1561.jpg,blue,78%,Blue Shirt,2406,2752,Cotton
1562.jpg,white,78%,White Shirt,2558,3309,Silk
1563.jpg,unknown,77%,Stylish Shirt,1710,2494,Denim
1564.jpg,white,57%,White Shirt,2583,3030,Wool
1565.jpg,white,51%,White Shirt,1692,2165,Cotton
1566.jpg,unknown,80%,Stylish Shirt,1521,1835,Wool
1567.jpg,unknown,46%,Stylish Shirt,2964,3265,Polyester
1568.jpg,unknown,78%,Stylish Shirt,2755,3426,Polyester
1569.jpg,black,81%,Black Shirt,2191,2567,Silk
157.jpg,gray,64%,Gray Shirt,2834,3199,Wool
1570.jpg,black,72%,Black Shirt,2715,3389,Polyester
1571.jpg,unknown,47%,Stylish Shirt,2150,2865,Silk
1572.jpg,white,52%,White Shirt,1620,2179,Linen
1573.jpg,gray,80%,Gray Shirt,2899,3356,Cotton
1574.jpg,gray,80%,Gray Shirt,1966,2508,Denim
1575.jpg,white,38%,White Shirt,1623,2106,Polyester
1576.jpg,white,48%,White Shirt,2125,2905,Linen
1577.jpg,yellow,37%,Yellow Shirt,2889,3248,Cotton
1578.jpg,blue,76%,Blue Shirt,1722,2478,Polyester
1579.jpg,blue,78%,Blue Shirt,1734,2233,Linen
158.jpg,black,53%,Black Shirt,1885,2629,Wool
1580.jpg,white,50%,White Shirt,2595,2910,Cotton
1581.jpg,unknown,79%,Stylish Shirt,2292,3037,Polyester
1582.jpg,black,73%,Black Shirt,2867,3323,Polyester
1583.jpg,white,59%,White Shirt,2986,3606,Linen
1584.jpg,blue,77%,Blue Shirt,2921,3319,Cotton
1585.jpg,unknown,78%,Stylish Shirt,1986,2743,Silk
1586.jpg,blue,75%,Blue Shirt,2010,2425,Linen
1587.jpg,gray,76%,Gray Shirt,2293,2602,Silk
1588.jpg,unknown,75%,Stylish Shirt,2033,2621,Wool
1589.jpg,white,62%,White Shirt,1820,2482,Denim
159.jpg,black,54%,Black Shirt,2652,3211,Silk
1590.jpg,unknown,47%,Stylish Shirt,1686,2144,Linen
1591.jpg,white,58%,White Shirt,2268,2834,Wool
1592.jpg,white,39%,White Shirt,2590,2956,Cotton
1593.jpg,black,78%,Black Shirt,2392,3093,Linen
1594.jpg,blue,79%,Blue Shirt,1655,2109,Linen
1595.jpg,unknown,80%,Stylish Shirt,1700,2104,Polyester
1596.jpg,white,62%,White Shirt,2022,2358,Polyester
1597.jpg,blue,47%,Blue Shirt,2254,2579,Wool
1598.jpg,black,79%,Black Shirt,1961,2409,Denim
1599.jpg,white,55%,White Shirt,1983,2589,Wool
16.jpg,gray,66%,Gray Shirt,2591,2919,Wool
160.jpg,unknown,50%,Stylish Shirt,1635,2191,Polyester
1600.jpg,white,53%,White Shirt,1983,2476,Denim
1601.jpg,gray,52%,Gray Shirt,1952,2714,Cotton
1602.jpg,blue,77%,Blue Shirt,2394,2870,Linen
1603.jpg,black,79%,Black Shirt,2692,3282,Denim
1604.jpg,gray,79%,Gray Shirt,2872,3599,Silk
1605.jpg,black,75%,Black Shirt,1849,2305,Cotton
1606.jpg,white,45%,White Shirt,2999,3699,Silk
1607.jpg,white,74%,White Shirt,1763,2405,Denim
1608.jpg,black,81%,Black Shirt,1995,2578,Cotton
1609.jpg,blue,77%,Blue Shirt,1713,2340,Wool
161.jpg,white,53%,White Shirt,2690,3080,Cotton
1610.jpg,unknown,80%,Stylish Shirt,1782,2117,Wool
1611.jpg,white,35%,White Shirt,1835,2322,Polyester
1612.jpg,gray,56%,Gray Shirt,2683,3387,Polyester
1613.jpg,gray,82%,Gray Shirt,2005,2312,Polyester
1614.jpg,blue,57%,Blue Shirt,2819,3427,Wool
1615.jpg,black,75%,Black Shirt,2811,3294,Polyester
1616.jpg,blue,78%,Blue Shirt,1615,2207,Denim
1617.jpg,white,35%,White Shirt,1768,2158,Linen
1618.jpg,black,78%,Black Shirt,2771,3364,Wool
1619.jpg,gray,77%,Gray Shirt,1805,2554,Cotton
162.jpg,white,62%,White Shirt,2499,2926,Linen
1620.jpg,white,74%,White Shirt,1737,2047,Cotton
1621.jpg,white,50%,White Shirt,1528,2154,Denim
1622.jpg,gray,52%,Gray Shirt,2080,2487,Cotton
1623.jpg,white,61%,White Shirt,2089,2856,Cotton
1624.jpg,unknown,79%,Stylish Shirt,2445,3020,Polyester
1625.jpg,white,61%,White Shirt,1765,2139,Silk
1626.jpg,white,97%,White Shirt,2896,3595,Wool
1627.jpg,unknown,78%,Stylish Shirt,2541,3066,Wool
1628.jpg,white,60%,White Shirt,2947,3699,Linen
1629.jpg,black,81%,Black Shirt,1916,2703,Cotton
163.jpg,white,50%,White Shirt,1807,2197,Denim
1630.jpg,unknown,78%,Stylish Shirt,2377,3140,Cotton
1631.jpg,pink,59%,Pink Shirt,1990,2443,Wool
1632.jpg,white,59%,White Shirt,2235,2859,Silk
1633.jpg,blue,74%,Blue Shirt,2648,3185,Denim
1634.jpg,black,79%,Black Shirt,2474,3144,Linen
1635.jpg,green,73%,Green Shirt,2351,2865,Polyester
1636.jpg,white,45%,White Shirt,2992,3374,Wool
1637.jpg,unknown,78%,Stylish Shirt,1916,2471,Polyester
1638.jpg,white,58%,White Shirt,1967,2596,Linen
1639.jpg,blue,76%,Blue Shirt,2329,2756,Denim
164.jpg,unknown,84%,Stylish Shirt,1522,2189,Silk
1640.jpg,blue,80%,Blue Shirt,2581,3328,Wool
1641.jpg,white,77%,White Shirt,1526,1834,Wool
1642.jpg,green,48%,Green Shirt,1876,2449,Polyester
1643.jpg,white,52%,White Shirt,2352,2961,Wool
1644.jpg,unknown,80%,Stylish Shirt,2003,2614,Wool
1645.jpg,white,84%,White Shirt,2324,3073,Linen
1646.jpg,unknown,41%,Stylish Shirt,2848,3478,Linen
1647.jpg,white,58%,White Shirt,2555,3030,Wool
1648.jpg,white,46%,White Shirt,1682,2475,Polyester
1649.jpg,unknown,70%,Stylish Shirt,2490,2834,Silk
165.jpg,white,47%,White Shirt,2818,3263,Denim
1650.jpg,blue,82%,Blue Shirt,2058,2452,Polyester
1651.jpg,black,80%,Black Shirt,2099,2732,Silk
1652.jpg,blue,84%,Blue Shirt,2165,2518,Wool
1653.jpg,white,55%,White Shirt,2542,2958,Wool
1654.jpg,white,64%,White Shirt,2156,2491,Linen
1655.jpg,white,47%,White Shirt,2851,3499,Denim
1656.jpg,black,74%,Black Shirt,2077,2841,Silk
1657.jpg,white,58%,White Shirt,1917,2646,Polyester
1658.jpg,white,65%,White Shirt,2803,3121,Cotton
1659.jpg,blue,77%,Blue Shirt,1744,2218,Cotton
166.jpg,white,49%,White Shirt,2627,3054,Denim
1660.jpg,gray,66%,Gray Shirt,2653,3422,Polyester
1661.jpg,blue,78%,Blue Shirt,2393,2919,Denim
1662.jpg,white,93%,White Shirt,2248,2628,Wool
1663.jpg,gray,82%,Gray Shirt,1655,2198,Denim
1664.jpg,black,78%,Black Shirt,1615,2199,Cotton
1665.jpg,unknown,78%,Stylish Shirt,2916,3511,Wool
1666.jpg,blue,64%,Blue Shirt,2378,3137,Linen
1667.jpg,white,39%,White Shirt,2718,3075,Polyester
1668.jpg,white,40%,White Shirt,1686,2024,Polyester
1669.jpg,black,77%,Black Shirt,2964,3381,Polyester
167.jpg,black,39%,Black Shirt,2753,3118,Denim
1670.jpg,blue,71%,Blue Shirt,2204,2686,Wool
1671.jpg,white,47%,White Shirt,2587,2973,Silk
1672.jpg,green,80%,Green Shirt,2654,3169,Linen
1673.jpg,white,42%,White Shirt,1614,2231,Polyester
1674.jpg,white,50%,White Shirt,2939,3739,Denim
1675.jpg,black,74%,Black Shirt,2288,2940,Wool
1676.jpg,black,75%,Black Shirt,1538,2237,Silk
1677.jpg,black,77%,Black Shirt,2932,3251,Linen
1678.jpg,white,77%,White Shirt,2830,3302,Silk
1679.jpg,black,80%,Black Shirt,2456,3136,Cotton
168.jpg,white,46%,White Shirt,2033,2612,Polyester
1680.jpg,unknown,80%,Stylish Shirt,2228,2975,Linen
1681.jpg,black,83%,Black Shirt,1857,2437,Linen
1682.jpg,gray,80%,Gray Shirt,2693,3317,Silk
1683.jpg,white,59%,White Shirt,1666,1993,Silk
1684.jpg,unknown,82%,Stylish Shirt,2246,2675,Polyester
1685.jpg,blue,78%,Blue Shirt,2000,2493,Polyester
1686.jpg,white,62%,White Shirt,1969,2607,Denim
1687.jpg,white,56%,White Shirt,2603,3394,Linen
1688.jpg,white,40%,White Shirt,2377,2999,Wool
1689.jpg,black,77%,Black Shirt,2188,2974,Silk
169.jpg,unknown,38%,Stylish Shirt,1789,2284,Polyester
1690.jpg,white,47%,White Shirt,2845,3353,Polyester
1691.jpg,unknown,79%,Stylish Shirt,1566,2025,Silk
1692.jpg,black,72%,Black Shirt,1639,2076,Denim
1693.jpg,blue,78%,Blue Shirt,1632,2312,Linen
1694.jpg,white,50%,White Shirt,2419,2762,Cotton
1695.jpg,black,76%,Black Shirt,2204,2875,Linen
1696.jpg,black,82%,Black Shirt,2225,2647,Linen
1697.jpg,unknown,81%,Stylish Shirt,1636,2208,Polyester
1698.jpg,unknown,78%,Stylish Shirt,2385,2968,Wool
1699.jpg,black,75%,Black Shirt,2934,3521,Cotton
17.jpg,gray,42%,Gray Shirt,2674,3248,Cotton
170.jpg,black,77%,Black Shirt,2831,3440,Wool
1700.jpg,black,57%,Black Shirt,2964,3429,Linen
1701.jpg,gray,54%,Gray Shirt,2434,2785,Cotton
1702.jpg,gray,78%,Gray Shirt,1678,2052,Linen
1703.jpg,black,78%,Black Shirt,2997,3358,Silk
1704.jpg,black,62%,Black Shirt,2458,2758,Cotton
1705.jpg,black,78%,Black Shirt,1548,2344,Wool
1706.jpg,white,59%,White Shirt,2965,3585,Polyester
1707.jpg,black,81%,Black Shirt,1551,2307,Wool
1708.jpg,white,54%,White Shirt,1806,2202,Denim
1709.jpg,white,50%,White Shirt,1674,1980,Silk
171.jpg,white,52%,White Shirt,2982,3586,Silk
1710.jpg,blue,80%,Blue Shirt,2385,2984,Linen
1711.jpg,black,82%,Black Shirt,1505,1922,Wool
1712.jpg,white,35%,White Shirt,1807,2172,Wool
1713.jpg,unknown,80%,Stylish Shirt,2629,3420,Polyester
1714.jpg,white,48%,White Shirt,2948,3746,Denim
1715.jpg,black,79%,Black Shirt,1821,2506,Cotton
1716.jpg,blue,78%,Blue Shirt,1867,2533,Cotton
1717.jpg,white,47%,White Shirt,1877,2215,Cotton
1718.jpg,white,65%,White Shirt,2580,3124,Wool
1719.jpg,black,78%,Black Shirt,2389,2761,Wool
172.jpg,white,46%,White Shirt,2565,3200,Linen
1720.jpg,white,63%,White Shirt,2985,3468,Denim
1721.jpg,white,57%,White Shirt,2054,2380,Wool
1722.jpg,unknown,77%,Stylish Shirt,2000,2509,Cotton
1723.jpg,black,77%,Black Shirt,1683,2273,Polyester
1724.jpg,black,77%,Black Shirt,1650,2339,Wool
1725.jpg,white,60%,White Shirt,2005,2379,Silk
1726.jpg,gray,58%,Gray Shirt,2503,3285,Linen
1727.jpg,unknown,77%,Stylish Shirt,2377,2733,Silk
1728.jpg,white,48%,White Shirt,1721,2339,Polyester
1729.jpg,pink,85%,Pink Shirt,2083,2660,Cotton
173.jpg,white,60%,White Shirt,1673,2267,Cotton
1730.jpg,black,79%,Black Shirt,1654,2367,Silk
1731.jpg,unknown,51%,Stylish Shirt,2644,3001,Wool
1732.jpg,black,81%,Black Shirt,2529,3294,Wool
1733.jpg,white,63%,White Shirt,1505,2244,Denim
1734.jpg,blue,78%,Blue Shirt,2450,2941,Denim
1735.jpg,black,78%,Black Shirt,2080,2576,Polyester
1736.jpg,unknown,47%,Stylish Shirt,1824,2307,Linen
1737.jpg,white,55%,White Shirt,2407,2720,Denim
1738.jpg,blue,78%,Blue Shirt,2522,2898,Wool
1739.jpg,white,46%,White Shirt,2284,2601,Denim
174.jpg,black,42%,Black Shirt,2778,3172,Wool
1740.jpg,white,40%,White Shirt,2009,2743,Denim
1741.jpg,unknown,75%,Stylish Shirt,1732,2467,Wool
1742.jpg,black,76%,Black Shirt,2742,3370,Wool
1743.jpg,white,91%,White Shirt,1728,2485,Cotton
1744.jpg,blue,46%,Blue Shirt,2031,2624,Linen
1745.jpg,white,82%,White Shirt,2670,3336,Silk
1746.jpg,black,78%,Black Shirt,2830,3488,Silk
1747.jpg,white,60%,White Shirt,2801,3195,Polyester
1748.jpg,white,39%,White Shirt,2892,3643,Polyester
1749.jpg,black,85%,Black Shirt,2810,3175,Silk
175.jpg,white,68%,White Shirt,2362,2925,Linen
1750.jpg,white,40%,White Shirt,1668,2381,Silk
1751.jpg,white,57%,White Shirt,1952,2285,Cotton
1752.jpg,white,98%,White Shirt,2386,3088,Denim
1753.jpg,unknown,76%,Stylish Shirt,2754,3100,Wool
1754.jpg,black,76%,Black Shirt,1918,2362,Denim
1755.jpg,blue,81%,Blue Shirt,2417,3031,Linen
1756.jpg,black,77%,Black Shirt,1600,2284,Cotton
1757.jpg,unknown,80%,Stylish Shirt,1978,2429,Polyester
1758.jpg,red,79%,Red Shirt,1609,2132,Denim
1759.jpg,white,35%,White Shirt,1675,2053,Wool
176.jpg,gray,61%,Gray Shirt,2982,3608,Cotton
1760.jpg,white,61%,White Shirt,2422,3219,Cotton
1761.jpg,white,37%,White Shirt,2357,2736,Denim
1762.jpg,white,77%,White Shirt,2820,3211,Denim
1763.jpg,black,76%,Black Shirt,2261,2848,Silk
1764.jpg,gray,42%,Gray Shirt,2517,2929,Cotton
1765.jpg,white,94%,White Shirt,2984,3433,Wool
1766.jpg,unknown,77%,Stylish Shirt,2604,3030,Polyester
1767.jpg,green,80%,Green Shirt,1824,2379,Denim
1768.jpg,gray,83%,Gray Shirt,1697,2253,Wool
1769.jpg,gray,79%,Gray Shirt,2624,3248,Polyester
177.jpg,gray,54%,Gray Shirt,1569,2262,Linen
1770.jpg,black,66%,Black Shirt,2511,3279,Denim
1771.jpg,white,49%,White Shirt,1958,2698,Silk
1772.jpg,blue,81%,Blue Shirt,2467,3148,Linen
1773.jpg,white,45%,White Shirt,2432,2918,Denim
1774.jpg,white,54%,White Shirt,2846,3168,Linen
1775.jpg,gray,81%,Gray Shirt,2640,3004,Wool
1776.jpg,blue,82%,Blue Shirt,2937,3247,Polyester
1777.jpg,white,37%,White Shirt,1692,2111,Denim
1778.jpg,white,51%,White Shirt,2046,2581,Denim
1779.jpg,gray,62%,Gray Shirt,2825,3576,Cotton
178.jpg,white,56%,White Shirt,2545,3241,Cotton
1780.jpg,white,87%,White Shirt,2952,3572,Wool
1781.jpg,white,57%,White Shirt,1559,1936,Denim
1782.jpg,black,71%,Black Shirt,1941,2644,Denim
1783.jpg,green,40%,Green Shirt,2400,2780,Cotton
1784.jpg,white,50%,White Shirt,2274,2960,Silk
1785.jpg,black,74%,Black Shirt,2753,3372,Polyester
1786.jpg,blue,81%,Blue Shirt,2564,3256,Polyester
1787.jpg,white,64%,White Shirt,2054,2413,Polyester
1788.jpg,white,54%,White Shirt,2784,3170,Cotton
1789.jpg,black,79%,Black Shirt,2272,2983,Denim
179.jpg,white,80%,White Shirt,2135,2643,Denim
1790.jpg,white,60%,White Shirt,2452,3118,Denim
1791.jpg,gray,45%,Gray Shirt,1739,2403,Wool
1792.jpg,unknown,78%,Stylish Shirt,2046,2424,Cotton
1793.jpg,gray,77%,Gray Shirt,2338,2899,Polyester
1794.jpg,gray,42%,Gray Shirt,2962,3377,Cotton
1795.jpg,red,77%,Red Shirt,2648,3218,Cotton
1796.jpg,unknown,53%,Stylish Shirt,2885,3234,Polyester
1797.jpg,white,79%,White Shirt,2212,2859,Wool
1798.jpg,green,45%,Green Shirt,1793,2454,Denim
1799.jpg,white,51%,White Shirt,2269,2792,Wool
18.jpg,black,67%,Black Shirt,2400,3186,Denim
180.jpg,unknown,38%,Stylish Shirt,1686,2353,Denim
1800.jpg,unknown,45%,Stylish Shirt,2752,3285,Cotton
1801.jpg,white,47%,White Shirt,2628,3320,Cotton
1802.jpg,white,48%,White Shirt,2607,2944,Polyester
1803.jpg,unknown,42%,Stylish Shirt,2235,2615,Polyester
1804.jpg,blue,77%,Blue Shirt,1552,2174,Denim
1805.jpg,white,80%,White Shirt,2380,2739,Wool
1806.jpg,white,46%,White Shirt,2573,3197,Cotton
1807.jpg,white,70%,White Shirt,1968,2297,Polyester
1808.jpg,blue,78%,Blue Shirt,1735,2412,Linen
1809.jpg,gray,71%,Gray Shirt,2912,3445,Linen
181.jpg,gray,45%,Gray Shirt,1823,2182,Wool
1810.jpg,unknown,54%,Stylish Shirt,2958,3403,Silk
1811.jpg,unknown,80%,Stylish Shirt,2352,2789,Denim
1812.jpg,gray,79%,Gray Shirt,2440,2977,Denim
1813.jpg,white,40%,White Shirt,2880,3223,Wool
1814.jpg,gray,54%,Gray Shirt,2240,2910,Denim
1815.jpg,black,69%,Black Shirt,2514,2920,Cotton
1816.jpg,gray,59%,Gray Shirt,2593,3244,Cotton
1817.jpg,blue,78%,Blue Shirt,1636,2252,Denim
1818.jpg,blue,81%,Blue Shirt,1997,2575,Polyester
1819.jpg,white,53%,White Shirt,2324,2857,Linen
182.jpg,pink,61%,Pink Shirt,2733,3085,Wool
1820.jpg,white,52%,White Shirt,2204,2618,Silk
1821.jpg,white,49%,White Shirt,1720,2101,Cotton
1822.jpg,gray,43%,Gray Shirt,2945,3274,Silk
1823.jpg,gray,45%,Gray Shirt,1927,2249,Wool
1824.jpg,unknown,51%,Stylish Shirt,1841,2210,Cotton
1825.jpg,gray,85%,Gray Shirt,2505,2905,Silk
1826.jpg,white,44%,White Shirt,2663,3420,Denim
1827.jpg,black,48%,Black Shirt,1902,2543,Polyester
1828.jpg,unknown,58%,Stylish Shirt,1651,2068,Silk
1829.jpg,white,60%,White Shirt,2789,3560,Linen
183.jpg,white,68%,White Shirt,1592,1985,Polyester
1830.jpg,blue,73%,Blue Shirt,2767,3491,Cotton
1831.jpg,gray,75%,Gray Shirt,1784,2496,Cotton
1832.jpg,pink,79%,Pink Shirt,2127,2831,Denim
1833.jpg,black,70%,Black Shirt,2072,2561,Cotton
1834.jpg,white,49%,White Shirt,2673,3411,Cotton
1835.jpg,white,56%,White Shirt,2159,2936,Polyester
